Store Number,Service_Comp_Group,Fiscal_Month,Target
22626138,Support,"March, 2019",2175
22626138,Support,"April, 2019",2131
22626138,Support,"May, 2019",2454
22626138,Support,"June, 2019",2725
22626138,Products,"July, 2018",10713
22626138,Products,"August, 2018",12347
22626138,Products,"September, 2018",12623
22626138,Products,"October, 2018",14328
22626138,Products,"November, 2018",14556
22626138,Products,"December, 2018",16419
22626138,Products,"January, 2019",17037
22626138,Products,"February, 2019",16148
22626138,Products,"March, 2019",19090
22626138,Products,"April, 2019",18526
22626138,Products,"May, 2019",21444
22626138,Products,"June, 2019",24037
22626619,Services,"July, 2018",297
22626619,Services,"August, 2018",317
22626619,Services,"September, 2018",329
22626619,Services,"October, 2018",365
22626619,Services,"November, 2018",380
22626619,Services,"December, 2018",422
22626619,Services,"January, 2019",455
22626619,Services,"February, 2019",442
22626619,Services,"March, 2019",527
22626619,Services,"April, 2019",550
22626619,Services,"May, 2019",612
22626619,Services,"June, 2019",637
22626619,Support,"July, 2018",1632
22626619,Support,"August, 2018",1863
22626619,Support,"September, 2018",1908
22626619,Support,"October, 2018",2160
22626619,Support,"November, 2018",2200
22626619,Support,"December, 2018",2478
22626619,Support,"January, 2019",2583
22626619,Support,"February, 2019",2456
22626619,Support,"March, 2019",2907
22626619,Support,"April, 2019",2847
22626619,Support,"May, 2019",3279
22626619,Support,"June, 2019",3641
22626619,Products,"July, 2018",24326
22626619,Products,"August, 2018",27793
22626619,Products,"September, 2018",28461
22626619,Products,"October, 2018",32227
22626619,Products,"November, 2018",32827
22626619,Products,"December, 2018",36972
22626619,Products,"January, 2019",38524
22626619,Products,"February, 2019",36622
22626619,Products,"March, 2019",43337
22626619,Products,"April, 2019",42420
22626619,Products,"May, 2019",48864
22626619,Products,"June, 2019",54309
23232162,Services,"July, 2018",1094
23232162,Services,"August, 2018",1184
23232162,Services,"September, 2018",1249
23232162,Services,"October, 2018",1414
23232162,Services,"November, 2018",1502
23232162,Services,"December, 2018",1707
23232162,Services,"January, 2019",1878
23232162,Services,"February, 2019",1866
23232162,Services,"March, 2019",2274
23232162,Services,"April, 2019",2422
23232162,Services,"May, 2019",2755
23232162,Services,"June, 2019",2936
23232162,Support,"July, 2018",171
23232162,Support,"August, 2018",196
23232162,Support,"September, 2018",200
23232162,Support,"October, 2018",227
23232162,Support,"November, 2018",231
23232162,Support,"December, 2018",260
23232162,Support,"January, 2019",271
23232162,Support,"February, 2019",258
23232162,Support,"March, 2019",305
23232162,Support,"April, 2019",299
23232162,Support,"May, 2019",344
23232162,Support,"June, 2019",382
23232162,Products,"July, 2018",1391
23232162,Products,"August, 2018",1653
23232162,Products,"September, 2018",1656
23232162,Products,"October, 2018",1875
23232162,Products,"November, 2018",1849
23232162,Products,"December, 2018",2068
23232162,Products,"January, 2019",2056
23232162,Products,"February, 2019",1874
23232162,Products,"March, 2019",2153
23232162,Products,"April, 2019",1914
23232162,Products,"May, 2019",2238
23232162,Products,"June, 2019",2610
23232619,Services,"July, 2018",297
23232619,Services,"August, 2018",317
23232619,Services,"September, 2018",329
23232619,Services,"October, 2018",365
23232619,Services,"November, 2018",380
23232619,Services,"December, 2018",422
23232619,Services,"January, 2019",455
23232619,Services,"February, 2019",442
23232619,Services,"March, 2019",527
23232619,Services,"April, 2019",550
23232619,Services,"May, 2019",612
23232619,Services,"June, 2019",637
23232619,Support,"July, 2018",298
23232619,Support,"August, 2018",340
23232619,Support,"September, 2018",348
23232619,Support,"October, 2018",394
23232619,Support,"November, 2018",402
23232619,Support,"December, 2018",452
23232619,Support,"January, 2019",471
23232619,Support,"February, 2019",448
23232619,Support,"March, 2019",531
23232619,Support,"April, 2019",520
23232619,Support,"May, 2019",598
23232619,Support,"June, 2019",665
23232619,Products,"July, 2018",437
23232619,Products,"August, 2018",521
23232619,Products,"September, 2018",529
23232619,Products,"October, 2018",606
23232619,Products,"November, 2018",610
23232619,Products,"December, 2018",692
23232619,Products,"January, 2019",707
23232619,Products,"February, 2019",662
23232619,Products,"March, 2019",780
23232619,Products,"April, 2019",731
23232619,Products,"May, 2019",863
23232619,Products,"June, 2019",1000
23333619,Services,"July, 2018",17
23333619,Services,"August, 2018",15
23333619,Services,"September, 2018",13
23333619,Services,"October, 2018",12
23333619,Services,"November, 2018",10
23333619,Services,"December, 2018",9
23333619,Services,"January, 2019",8
23333619,Services,"February, 2019",7
23333619,Services,"March, 2019",7
23333619,Services,"April, 2019",6
23333619,Services,"May, 2019",5
23333619,Services,"June, 2019",4
23333619,Support,"July, 2018",2
23333619,Support,"August, 2018",3
23333619,Support,"September, 2018",4
23333619,Support,"October, 2018",5
23333619,Support,"November, 2018",5
23333619,Support,"December, 2018",6
23333619,Support,"January, 2019",6
23333619,Support,"February, 2019",6
23333619,Support,"March, 2019",7
23333619,Support,"April, 2019",8
23333619,Support,"May, 2019",9
23333619,Support,"June, 2019",9
23333619,Products,"July, 2018",11
23333619,Products,"August, 2018",15
23333619,Products,"September, 2018",17
23333619,Products,"October, 2018",21
23333619,Products,"November, 2018",23
23333619,Products,"December, 2018",26
23333619,Products,"January, 2019",29
23333619,Products,"February, 2019",29
23333619,Products,"March, 2019",34
23333619,Products,"April, 2019",34
23333619,Products,"May, 2019",39
23333619,Products,"June, 2019",43
23535619,Services,"July, 2018",17
23535619,Services,"August, 2018",15
23535619,Services,"September, 2018",13
23535619,Services,"October, 2018",12
23535619,Services,"November, 2018",10
23535619,Services,"December, 2018",9
23535619,Services,"January, 2019",8
23535619,Services,"February, 2019",7
23535619,Services,"March, 2019",7
23535619,Services,"April, 2019",6
23535619,Services,"May, 2019",5
23535619,Services,"June, 2019",4
23535619,Support,"July, 2018",2
23535619,Support,"August, 2018",3
23535619,Support,"September, 2018",4
23535619,Support,"October, 2018",5
23535619,Support,"November, 2018",5
23535619,Support,"December, 2018",6
23535619,Support,"January, 2019",6
23535619,Support,"February, 2019",6
23535619,Support,"March, 2019",7
23535619,Support,"April, 2019",8
23535619,Support,"May, 2019",9
23535619,Support,"June, 2019",9
23535619,Products,"July, 2018",11
23535619,Products,"August, 2018",15
23535619,Products,"September, 2018",17
23535619,Products,"October, 2018",21
23535619,Products,"November, 2018",23
23535619,Products,"December, 2018",26
23535619,Products,"January, 2019",29
23535619,Products,"February, 2019",29
23535619,Products,"March, 2019",34
23535619,Products,"April, 2019",34
23535619,Products,"May, 2019",39
23535619,Products,"June, 2019",43
23636522,Services,"July, 2018",339
23636522,Services,"August, 2018",362
23636522,Services,"September, 2018",376
23636522,Services,"October, 2018",417
23636522,Services,"November, 2018",435
23636522,Services,"December, 2018",483
23636522,Services,"January, 2019",520
23636522,Services,"February, 2019",506
23636522,Services,"March, 2019",603
23636522,Services,"April, 2019",629
23636522,Services,"May, 2019",700
23636522,Services,"June, 2019",729
23636522,Support,"July, 2018",298
23636522,Support,"August, 2018",340
23636522,Support,"September, 2018",348
23636522,Support,"October, 2018",394
23636522,Support,"November, 2018",402
23636522,Support,"December, 2018",452
23636522,Support,"January, 2019",471
23636522,Support,"February, 2019",448
23636522,Support,"March, 2019",531
23636522,Support,"April, 2019",520
23636522,Support,"May, 2019",598
23636522,Support,"June, 2019",665
23636522,Products,"July, 2018",1172
23636522,Products,"August, 2018",1363
23636522,Products,"September, 2018",1391
23636522,Products,"October, 2018",1583
23636522,Products,"November, 2018",1604
23636522,Products,"December, 2018",1812
23636522,Products,"January, 2019",1872
23636522,Products,"February, 2019",1769
23636522,Products,"March, 2019",2089
23636522,Products,"April, 2019",2009
23636522,Products,"May, 2019",2337
23636522,Products,"June, 2019",2643
23636604,Services,"July, 2018",17
23636604,Services,"August, 2018",15
23636604,Services,"September, 2018",13
23636604,Services,"October, 2018",12
23636604,Services,"November, 2018",10
23636604,Services,"December, 2018",9
23636604,Services,"January, 2019",8
23636604,Services,"February, 2019",7
23636604,Services,"March, 2019",7
23636604,Services,"April, 2019",6
23636604,Services,"May, 2019",5
23636604,Services,"June, 2019",4
23636604,Support,"July, 2018",2
23636604,Support,"August, 2018",3
23636604,Support,"September, 2018",4
23636604,Support,"October, 2018",5
23636604,Support,"November, 2018",5
23636604,Support,"December, 2018",6
23636604,Support,"January, 2019",6
23636604,Support,"February, 2019",6
23636604,Support,"March, 2019",7
23636604,Support,"April, 2019",8
23636604,Support,"May, 2019",9
23636604,Support,"June, 2019",9
23636604,Products,"July, 2018",11
23636604,Products,"August, 2018",15
23636604,Products,"September, 2018",17
23636604,Products,"October, 2018",21
23636604,Products,"November, 2018",23
23636604,Products,"December, 2018",26
23636604,Products,"January, 2019",29
23636604,Products,"February, 2019",29
23636604,Products,"March, 2019",34
23636604,Products,"April, 2019",34
23636604,Products,"May, 2019",39
23636604,Products,"June, 2019",43
23636619,Services,"July, 2018",17
23636619,Services,"August, 2018",15
23636619,Services,"September, 2018",13
23636619,Services,"October, 2018",12
23636619,Services,"November, 2018",10
23636619,Services,"December, 2018",9
23636619,Services,"January, 2019",8
23636619,Services,"February, 2019",7
23636619,Services,"March, 2019",7
23636619,Services,"April, 2019",6
23636619,Services,"May, 2019",5
23636619,Services,"June, 2019",4
23636619,Support,"July, 2018",2
23636619,Support,"August, 2018",3
23636619,Support,"September, 2018",4
23636619,Support,"October, 2018",5
23636619,Support,"November, 2018",5
23636619,Support,"December, 2018",6
23636619,Support,"January, 2019",6
23636619,Support,"February, 2019",6
23636619,Support,"March, 2019",7
23636619,Support,"April, 2019",8
23636619,Support,"May, 2019",9
23636619,Support,"June, 2019",9
23636619,Products,"July, 2018",11
23636619,Products,"August, 2018",15
23636619,Products,"September, 2018",17
23636619,Products,"October, 2018",21
23636619,Products,"November, 2018",23
23636619,Products,"December, 2018",26
23636619,Products,"January, 2019",29
23636619,Products,"February, 2019",29
23636619,Products,"March, 2019",34
23636619,Products,"April, 2019",34
23636619,Products,"May, 2019",39
23636619,Products,"June, 2019",43
23737520,Services,"July, 2018",2696
23737520,Services,"August, 2018",2916
23737520,Services,"September, 2018",3078
23737520,Services,"October, 2018",3484
23737520,Services,"November, 2018",3701
23737520,Services,"December, 2018",4204
23737520,Services,"January, 2019",4626
23737520,Services,"February, 2019",4598
23737520,Services,"March, 2019",5603
23737520,Services,"April, 2019",5968
23737520,Services,"May, 2019",6788
23737520,Services,"June, 2019",7232
23737520,Support,"July, 2018",8368
23737520,Support,"August, 2018",9554
23737520,Support,"September, 2018",9784
23737520,Support,"October, 2018",11077
23737520,Support,"November, 2018",11286
23737520,Support,"December, 2018",12709
23737520,Support,"January, 2019",13247
23737520,Support,"February, 2019",12597
23737520,Support,"March, 2019",14908
23737520,Support,"April, 2019",14604
23737520,Support,"May, 2019",16815
23737520,Support,"June, 2019",18674
23737520,Products,"July, 2018",-4167
23737520,Products,"August, 2018",-4595
23737520,Products,"September, 2018",-4798
23737520,Products,"October, 2018",-5431
23737520,Products,"November, 2018",-5685
23737520,Products,"December, 2018",-6438
23737520,Products,"January, 2019",-6955
23737520,Products,"February, 2019",-6813
23737520,Products,"March, 2019",-8223
23737520,Products,"April, 2019",-8535
23737520,Products,"May, 2019",-9744
23737520,Products,"June, 2019",-10515
23737619,Services,"July, 2018",212
23737619,Services,"August, 2018",188
23737619,Services,"September, 2018",162
23737619,Services,"October, 2018",148
23737619,Services,"November, 2018",128
23737619,Services,"December, 2018",117
23737619,Services,"January, 2019",104
23737619,Services,"February, 2019",84
23737619,Services,"March, 2019",83
23737619,Services,"April, 2019",71
23737619,Services,"May, 2019",65
23737619,Services,"June, 2019",56
23737619,Support,"July, 2018",30
23737619,Support,"August, 2018",41
23737619,Support,"September, 2018",48
23737619,Support,"October, 2018",58
23737619,Support,"November, 2018",64
23737619,Support,"December, 2018",74
23737619,Support,"January, 2019",80
23737619,Support,"February, 2019",81
23737619,Support,"March, 2019",94
23737619,Support,"April, 2019",96
23737619,Support,"May, 2019",108
23737619,Support,"June, 2019",120
23737619,Products,"July, 2018",137
23737619,Products,"August, 2018",188
23737619,Products,"September, 2018",220
23737619,Products,"October, 2018",264
23737619,Products,"November, 2018",291
23737619,Products,"December, 2018",336
23737619,Products,"January, 2019",363
23737619,Products,"February, 2019",370
23737619,Products,"March, 2019",428
23737619,Products,"April, 2019",435
23737619,Products,"May, 2019",494
23737619,Products,"June, 2019",548
24343524,Services,"July, 2018",297
24343524,Services,"August, 2018",317
24343524,Services,"September, 2018",328
24343524,Services,"October, 2018",365
24343524,Services,"November, 2018",380
24343524,Services,"December, 2018",422
24343524,Services,"January, 2019",455
24343524,Services,"February, 2019",442
24343524,Services,"March, 2019",527
24343524,Services,"April, 2019",549
24343524,Services,"May, 2019",611
24343524,Services,"June, 2019",637
24343524,Support,"July, 2018",298
24343524,Support,"August, 2018",340
24343524,Support,"September, 2018",348
24343524,Support,"October, 2018",394
24343524,Support,"November, 2018",402
24343524,Support,"December, 2018",452
24343524,Support,"January, 2019",471
24343524,Support,"February, 2019",448
24343524,Support,"March, 2019",530
24343524,Support,"April, 2019",520
24343524,Support,"May, 2019",598
24343524,Support,"June, 2019",664
24343524,Products,"July, 2018",-49
24343524,Products,"August, 2018",-34
24343524,Products,"September, 2018",-39
24343524,Products,"October, 2018",-37
24343524,Products,"November, 2018",-45
24343524,Products,"December, 2018",-46
24343524,Products,"January, 2019",-62
24343524,Products,"February, 2019",-69
24343524,Products,"March, 2019",-86
24343524,Products,"April, 2019",-117
24343524,Products,"May, 2019",-113
24343524,Products,"June, 2019",-84
24343619,Services,"July, 2018",17
24343619,Services,"August, 2018",15
24343619,Services,"September, 2018",13
24343619,Services,"October, 2018",12
24343619,Services,"November, 2018",10
24343619,Services,"December, 2018",9
24343619,Services,"January, 2019",8
24343619,Services,"February, 2019",7
24343619,Services,"March, 2019",7
24343619,Services,"April, 2019",6
24343619,Services,"May, 2019",5
24343619,Services,"June, 2019",4
24343619,Support,"July, 2018",2
24343619,Support,"August, 2018",3
24343619,Support,"September, 2018",4
24343619,Support,"October, 2018",5
24343619,Support,"November, 2018",5
24343619,Support,"December, 2018",6
24343619,Support,"January, 2019",6
24343619,Support,"February, 2019",6
24343619,Support,"March, 2019",7
24343619,Support,"April, 2019",8
24343619,Support,"May, 2019",9
24343619,Support,"June, 2019",9
24343619,Products,"July, 2018",11
24343619,Products,"August, 2018",15
24343619,Products,"September, 2018",17
24343619,Products,"October, 2018",21
24343619,Products,"November, 2018",23
24343619,Products,"December, 2018",26
24343619,Products,"January, 2019",29
24343619,Products,"February, 2019",29
24343619,Products,"March, 2019",34
24343619,Products,"April, 2019",34
24343619,Products,"May, 2019",39
24343619,Products,"June, 2019",43
24747845,Services,"July, 2018",297
24747845,Services,"August, 2018",317
24747845,Services,"September, 2018",329
24747845,Services,"October, 2018",365
24747845,Services,"November, 2018",380
24747845,Services,"December, 2018",422
24747845,Services,"January, 2019",455
24747845,Services,"February, 2019",442
24747845,Services,"March, 2019",527
24747845,Services,"April, 2019",550
24747845,Services,"May, 2019",612
24747845,Services,"June, 2019",637
24747845,Support,"July, 2018",298
24747845,Support,"August, 2018",340
24747845,Support,"September, 2018",348
24747845,Support,"October, 2018",394
24747845,Support,"November, 2018",402
24747845,Support,"December, 2018",452
24747845,Support,"January, 2019",471
24747845,Support,"February, 2019",448
24747845,Support,"March, 2019",531
24747845,Support,"April, 2019",520
24747845,Support,"May, 2019",598
24747845,Support,"June, 2019",665
24747845,Products,"July, 2018",1596
24747845,Products,"August, 2018",1844
24747845,Products,"September, 2018",1884
24747845,Products,"October, 2018",2140
24747845,Products,"November, 2018",2172
24747845,Products,"December, 2018",2452
24747845,Products,"January, 2019",2541
24747845,Products,"February, 2019",2406
24747845,Products,"March, 2019",2844
24747845,Products,"April, 2019",2753
24747845,Products,"May, 2019",3191
24747845,Products,"June, 2019",3586
24848112,Services,"July, 2018",5833
24848112,Services,"August, 2018",6420
24848112,Services,"September, 2018",6607
24848112,Services,"October, 2018",7239
24848112,Services,"November, 2018",7417
24848112,Services,"December, 2018",8103
24848112,Services,"January, 2019",8419
24848112,Services,"February, 2019",8237
24848112,Services,"March, 2019",9295
24848112,Services,"April, 2019",9257
24848112,Services,"May, 2019",10274
24848112,Services,"June, 2019",11145
24848112,Support,"July, 2018",2676
24848112,Support,"August, 2018",2945
24848112,Support,"September, 2018",3031
24848112,Support,"October, 2018",3321
24848112,Support,"November, 2018",3402
24848112,Support,"December, 2018",3717
24848112,Support,"January, 2019",3862
24848112,Support,"February, 2019",3779
24848112,Support,"March, 2019",4264
24848112,Support,"April, 2019",4247
24848112,Support,"May, 2019",4714
24848112,Support,"June, 2019",5113
24848112,Products,"July, 2018",16915
24848112,Products,"August, 2018",18618
24848112,Products,"September, 2018",19161
24848112,Products,"October, 2018",20993
24848112,Products,"November, 2018",21509
24848112,Products,"December, 2018",23500
24848112,Products,"January, 2019",24415
24848112,Products,"February, 2019",23888
24848112,Products,"March, 2019",26956
24848112,Products,"April, 2019",26848
24848112,Products,"May, 2019",29797
24848112,Products,"June, 2019",32321
24848619,Services,"July, 2018",177
24848619,Services,"August, 2018",157
24848619,Services,"September, 2018",135
24848619,Services,"October, 2018",124
24848619,Services,"November, 2018",107
24848619,Services,"December, 2018",98
24848619,Services,"January, 2019",87
24848619,Services,"February, 2019",70
24848619,Services,"March, 2019",69
24848619,Services,"April, 2019",59
24848619,Services,"May, 2019",55
24848619,Services,"June, 2019",47
24848619,Support,"July, 2018",25
24848619,Support,"August, 2018",35
24848619,Support,"September, 2018",40
24848619,Support,"October, 2018",48
24848619,Support,"November, 2018",53
24848619,Support,"December, 2018",62
24848619,Support,"January, 2019",67
24848619,Support,"February, 2019",68
24848619,Support,"March, 2019",78
24848619,Support,"April, 2019",80
24848619,Support,"May, 2019",91
24848619,Support,"June, 2019",100
24848619,Products,"July, 2018",115
24848619,Products,"August, 2018",157
24848619,Products,"September, 2018",184
24848619,Products,"October, 2018",221
24848619,Products,"November, 2018",243
24848619,Products,"December, 2018",280
24848619,Products,"January, 2019",303
24848619,Products,"February, 2019",309
24848619,Products,"March, 2019",357
24848619,Products,"April, 2019",363
24848619,Products,"May, 2019",413
24848619,Products,"June, 2019",457
24848972,Services,"July, 2018",297
24848972,Services,"August, 2018",317
24848972,Services,"September, 2018",329
24848972,Services,"October, 2018",365
24848972,Services,"November, 2018",380
24848972,Services,"December, 2018",422
24848972,Services,"January, 2019",455
24848972,Services,"February, 2019",442
24848972,Services,"March, 2019",527
24848972,Services,"April, 2019",550
24848972,Services,"May, 2019",612
24848972,Services,"June, 2019",637
24848972,Support,"July, 2018",298
24848972,Support,"August, 2018",340
24848972,Support,"September, 2018",348
24848972,Support,"October, 2018",394
24848972,Support,"November, 2018",402
24848972,Support,"December, 2018",452
24848972,Support,"January, 2019",471
24848972,Support,"February, 2019",448
24848972,Support,"March, 2019",531
24848972,Support,"April, 2019",520
24848972,Support,"May, 2019",598
24848972,Support,"June, 2019",665
24848972,Products,"July, 2018",4027
24848972,Products,"August, 2018",4619
24848972,Products,"September, 2018",4727
24848972,Products,"October, 2018",5358
24848972,Products,"November, 2018",5451
24848972,Products,"December, 2018",6144
24848972,Products,"January, 2019",6390
24848972,Products,"February, 2019",6066
24848972,Products,"March, 2019",7175
24848972,Products,"April, 2019",6996
24848972,Products,"May, 2019",8076
24848972,Products,"June, 2019",9011
24949619,Services,"July, 2018",769
24949619,Services,"August, 2018",822
24949619,Services,"September, 2018",853
24949619,Services,"October, 2018",947
24949619,Services,"November, 2018",985
24949619,Services,"December, 2018",1096
24949619,Services,"January, 2019",1180
24949619,Services,"February, 2019",1148
24949619,Services,"March, 2019",1368
24949619,Services,"April, 2019",1426
24949619,Services,"May, 2019",1587
24949619,Services,"June, 2019",1653
24949619,Support,"July, 2018",1061
24949619,Support,"August, 2018",1211
24949619,Support,"September, 2018",1240
24949619,Support,"October, 2018",1404
24949619,Support,"November, 2018",1430
24949619,Support,"December, 2018",1611
24949619,Support,"January, 2019",1679
24949619,Support,"February, 2019",1597
24949619,Support,"March, 2019",1890
24949619,Support,"April, 2019",1851
24949619,Support,"May, 2019",2131
24949619,Support,"June, 2019",2367
24949619,Products,"July, 2018",2353
24949619,Products,"August, 2018",2743
24949619,Products,"September, 2018",2798
24949619,Products,"October, 2018",3186
24949619,Products,"November, 2018",3226
24949619,Products,"December, 2018",3646
24949619,Products,"January, 2019",3763
24949619,Products,"February, 2019",3553
24949619,Products,"March, 2019",4194
24949619,Products,"April, 2019",4023
24949619,Products,"May, 2019",4688
24949619,Products,"June, 2019",5314
25555521,Services,"July, 2018",30155
25555521,Services,"August, 2018",32611
25555521,Services,"September, 2018",34421
25555521,Services,"October, 2018",15161
25555521,Services,"November, 2018",15161
25555521,Services,"December, 2018",15161
25555521,Services,"January, 2019",53131
25555521,Services,"February, 2019",57278
25555521,Services,"March, 2019",74240
25555521,Services,"April, 2019",79763
25555521,Services,"May, 2019",99817
25555521,Services,"June, 2019",107012
25555521,Support,"July, 2018",51094
25555521,Support,"August, 2018",58331
25555521,Support,"September, 2018",59740
25555521,Support,"October, 2018",19807
25555521,Support,"November, 2018",19807
25555521,Support,"December, 2018",19807
25555521,Support,"January, 2019",83072
25555521,Support,"February, 2019",88379
25555521,Support,"March, 2019",113184
25555521,Support,"April, 2019",119993
25555521,Support,"May, 2019",148270
25555521,Support,"June, 2019",156482
25555521,Products,"July, 2018",182704
25555521,Products,"August, 2018",210399
25555521,Products,"September, 2018",214461
25555521,Products,"October, 2018",67358
25555521,Products,"November, 2018",67358
25555521,Products,"December, 2018",67358
25555521,Products,"January, 2019",292952
25555521,Products,"February, 2019",310917
25555521,Products,"March, 2019",397295
25555521,Products,"April, 2019",420136
25555521,Products,"May, 2019",517888
25555521,Products,"June, 2019",544903
25757967,Services,"July, 2018",22663
25757967,Services,"August, 2018",24509
25757967,Services,"September, 2018",25869
25757967,Services,"October, 2018",29281
25757967,Services,"November, 2018",31108
25757967,Services,"December, 2018",35337
25757967,Services,"January, 2019",38882
25757967,Services,"February, 2019",38647
25757967,Services,"March, 2019",47091
25757967,Services,"April, 2019",50160
25757967,Services,"May, 2019",57056
25757967,Services,"June, 2019",60787
25757967,Support,"July, 2018",22230
25757967,Support,"August, 2018",25379
25757967,Support,"September, 2018",25992
25757967,Support,"October, 2018",29425
25757967,Support,"November, 2018",29980
25757967,Support,"December, 2018",33761
25757967,Support,"January, 2019",35191
25757967,Support,"February, 2019",33463
25757967,Support,"March, 2019",39602
25757967,Support,"April, 2019",38794
25757967,Support,"May, 2019",44668
25757967,Support,"June, 2019",49607
25757967,Products,"July, 2018",-2076
25757967,Products,"August, 2018",-1006
25757967,Products,"September, 2018",-1798
25757967,Products,"October, 2018",-2031
25757967,Products,"November, 2018",-3344
25757967,Products,"December, 2018",-4071
25757967,Products,"January, 2019",-6292
25757967,Products,"February, 2019",-7657
25757967,Products,"March, 2019",-10415
25757967,Products,"April, 2019",-14232
25757967,Products,"May, 2019",-15689
25757967,Products,"June, 2019",-14846
25858845,Services,"July, 2018",1686
25858845,Services,"August, 2018",1848
25858845,Services,"September, 2018",1882
25858845,Services,"October, 2018",2110
25858845,Services,"November, 2018",2060
25858845,Services,"December, 2018",2217
25858845,Services,"January, 2019",2256
25858845,Services,"February, 2019",2109
25858845,Services,"March, 2019",2478
25858845,Services,"April, 2019",2484
25858845,Services,"May, 2019",2776
25858845,Services,"June, 2019",2974
25858845,Support,"July, 2018",1
25858845,Support,"August, 2018",1
25858845,Support,"September, 2018",1
25858845,Support,"October, 2018",1
25858845,Support,"November, 2018",1
25858845,Support,"December, 2018",1
25858845,Support,"January, 2019",1
25858845,Support,"February, 2019",1
25858845,Support,"March, 2019",1
25858845,Support,"April, 2019",1
25858845,Support,"May, 2019",1
25858845,Support,"June, 2019",1
25858845,Products,"July, 2018",280
25858845,Products,"August, 2018",307
25858845,Products,"September, 2018",312
25858845,Products,"October, 2018",350
25858845,Products,"November, 2018",342
25858845,Products,"December, 2018",368
25858845,Products,"January, 2019",374
25858845,Products,"February, 2019",350
25858845,Products,"March, 2019",411
25858845,Products,"April, 2019",412
25858845,Products,"May, 2019",461
25858845,Products,"June, 2019",494
26060124,Services,"July, 2018",157
26060124,Services,"August, 2018",170
26060124,Services,"September, 2018",179
26060124,Services,"October, 2018",203
26060124,Services,"November, 2018",216
26060124,Services,"December, 2018",245
26060124,Services,"January, 2019",270
26060124,Services,"February, 2019",268
26060124,Services,"March, 2019",327
26060124,Services,"April, 2019",348
26060124,Services,"May, 2019",396
26060124,Services,"June, 2019",422
26060124,Support,"July, 2018",198
26060124,Support,"August, 2018",226
26060124,Support,"September, 2018",231
26060124,Support,"October, 2018",262
26060124,Support,"November, 2018",267
26060124,Support,"December, 2018",301
26060124,Support,"January, 2019",313
26060124,Support,"February, 2019",298
26060124,Support,"March, 2019",353
26060124,Support,"April, 2019",345
26060124,Support,"May, 2019",398
26060124,Support,"June, 2019",442
26060124,Products,"July, 2018",1304
26060124,Products,"August, 2018",1499
26060124,Products,"September, 2018",1530
26060124,Products,"October, 2018",1732
26060124,Products,"November, 2018",1756
26060124,Products,"December, 2018",1975
26060124,Products,"January, 2019",2044
26060124,Products,"February, 2019",1932
26060124,Products,"March, 2019",2277
26060124,Products,"April, 2019",2203
26060124,Products,"May, 2019",2541
26060124,Products,"June, 2019",2840
26565108,Services,"July, 2018",2667
26565108,Services,"August, 2018",2884
26565108,Services,"September, 2018",3044
26565108,Services,"October, 2018",3446
26565108,Services,"November, 2018",3661
26565108,Services,"December, 2018",4158
26565108,Services,"January, 2019",4575
26565108,Services,"February, 2019",4548
26565108,Services,"March, 2019",5541
26565108,Services,"April, 2019",5902
26565108,Services,"May, 2019",6714
26565108,Services,"June, 2019",7153
26565108,Support,"July, 2018",16025
26565108,Support,"August, 2018",18295
26565108,Support,"September, 2018",18737
26565108,Support,"October, 2018",21212
26565108,Support,"November, 2018",21612
26565108,Support,"December, 2018",24338
26565108,Support,"January, 2019",25369
26565108,Support,"February, 2019",24123
26565108,Support,"March, 2019",28549
26565108,Support,"April, 2019",27966
26565108,Support,"May, 2019",32201
26565108,Support,"June, 2019",35761
26565108,Products,"July, 2018",12389
26565108,Products,"August, 2018",14305
26565108,Products,"September, 2018",14560
26565108,Products,"October, 2018",16484
26565108,Products,"November, 2018",16645
26565108,Products,"December, 2018",18708
26565108,Products,"January, 2019",19260
26565108,Products,"February, 2019",18117
26565108,Products,"March, 2019",21281
26565108,Products,"April, 2019",20373
26565108,Products,"May, 2019",23540
26565108,Products,"June, 2019",26446
27171133,Services,"July, 2018",10777
27171133,Services,"August, 2018",11809
27171133,Services,"September, 2018",12027
27171133,Services,"October, 2018",13498
27171133,Services,"November, 2018",13171
27171133,Services,"December, 2018",14182
27171133,Services,"January, 2019",14438
27171133,Services,"February, 2019",13489
27171133,Services,"March, 2019",15861
27171133,Services,"April, 2019",15900
27171133,Services,"May, 2019",17767
27171133,Services,"June, 2019",19032
27171133,Support,"July, 2018",4
27171133,Support,"August, 2018",4
27171133,Support,"September, 2018",4
27171133,Support,"October, 2018",5
27171133,Support,"November, 2018",5
27171133,Support,"December, 2018",5
27171133,Support,"January, 2019",5
27171133,Support,"February, 2019",5
27171133,Support,"March, 2019",6
27171133,Support,"April, 2019",6
27171133,Support,"May, 2019",7
27171133,Support,"June, 2019",7
27171133,Products,"July, 2018",1789
27171133,Products,"August, 2018",1960
27171133,Products,"September, 2018",1996
27171133,Products,"October, 2018",2240
27171133,Products,"November, 2018",2186
27171133,Products,"December, 2018",2354
27171133,Products,"January, 2019",2396
27171133,Products,"February, 2019",2239
27171133,Products,"March, 2019",2632
27171133,Products,"April, 2019",2639
27171133,Products,"May, 2019",2949
27171133,Products,"June, 2019",3158
27575106,Services,"July, 2018",1158
27575106,Services,"August, 2018",1252
27575106,Services,"September, 2018",1322
27575106,Services,"October, 2018",1496
